ID,artist,song,duration_ms,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
244,Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,TRUE,2001,73,0.835,0.707,-5.074,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,"hip hop, pop"
245,Liberty X,Just A Little,237359,FALSE,2019,43,0.786,0.614,-6.554,0.0574,0.00616,0,0.049,0.742,103.887,pop
246,No Doubt,Hella Good,242586,FALSE,2001,26,0.771,0.665,-3.954,0.035,0.0135,0.0123,0.0903,0.844,115.142,"rock, pop"
247,LL Cool J,Luv U Better,287000,FALSE,2002,2,0.668,0.806,-3.9,0.239,0.232,0,0.18,0.721,95.022,"hip hop, pop, R&B"
248,Red Hot Chili Peppers,Can't Stop,269000,FALSE,2002,80,0.618,0.938,-3.442,0.0456,0.0179,0,0.167,0.875,91.455,rock
249,Musiq Soulchild,Halfcrazy,254493,FALSE,2002,58,0.412,0.77,-6.057,0.18,0.462,1.5e-06,0.0485,0.418,101.955,"pop, R&B"
250,Sean Paul,Gimme the Light,228000,TRUE,2002,59,0.778,0.761,-5.529,0.0525,0.141,4.61e-05,0.0441,0.923,107.288,"hip hop, pop"
251,Faith Evans,I Love You,267160,FALSE,2001,53,0.489,0.757,-4.062,0.0926,0.00981,0,0.234,0.567,168.004,"hip hop, pop, R&B"
252,Charli Baltimore,Down 4 U,318213,TRUE,2002,47,0.64,0.59,-7.442,0.32,0.252,0,0.665,0.519,83.133,pop
253,Kylie Minogue,Love at First Sight,238266,FALSE,2001,55,0.603,0.774,-6.066,0.0428,0.0288,0.051,0.0533,0.48,124.994,"pop, Dance/Electronic"
254,N.O.R.E.,Nothin',264653,TRUE,2002,58,0.791,0.863,-6.118,0.151,0.317,1.13e-06,0.27,0.742,97.035,"hip hop, pop"
255,Gareth Gates,Unchained Melody,233666,FALSE,2003,35,0.368,0.426,-8.049,0.0277,0.255,5.39e-06,0.108,0.208,106.52,pop
256,Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,FALSE,2005,63,0.66,0.707,-5.758,0.208,0.397,0,0.211,0.761,89.279,"hip hop, pop"
257,Big Brovaz,Nu Flow,201480,FALSE,2001,45,0.783,0.726,-8.718,0.106,0.0903,2.53e-06,0.363,0.784,148.062,pop
